MatchID,Year,Decade,Date,Time,Stage,StageType,Group,Stadium,HostCity,HostCountry,HomeTeam,AwayTeam,HomeGoals,AwayGoals,TotalGoals,GoalDifference,Result,Winner,ExtraTime,PenaltyShootout,HomePenaltyGoals,AwayPenaltyGoals,HighScoringMatch,Scoreline
M-2002-34,2002,2000s,2002-06-11,15:30,Group Stage,Group Stage,Group A,Suwon World Cup Stadium,Suwon,South Korea,Senegal,Uruguay,3,3,6,0,Draw,Draw,No,No,0,0,Yes,3–3
M-2002-35,2002,2000s,2002-06-11,20:30,Group Stage,Group Stage,Group E,Shizuoka Stadium ECOPA,Shizuoka,Japan,Cameroon,Germany,0,2,2,2,Away Win,Germany,No,No,0,0,No,0–2
M-2002-36,2002,2000s,2002-06-11,20:30,Group Stage,Group Stage,Group E,International Stadium Yokohama,Yokohama,Japan,Saudi Arabia,Republic of Ireland,0,3,3,3,Away Win,Republic of Ireland,No,No,0,0,No,0–3
M-2002-37,2002,2000s,2002-06-12,15:30,Group Stage,Group Stage,Group F,Nagai Stadium,Osaka,Japan,Nigeria,England,0,0,0,0,Draw,Draw,No,No,0,0,No,0–0
M-2002-38,2002,2000s,2002-06-12,15:30,Group Stage,Group Stage,Group F,Miyagi Stadium,Miyagi,Japan,Sweden,Argentina,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2002-39,2002,2000s,2002-06-12,20:30,Group Stage,Group Stage,Group B,Jeju World Cup Stadium,Seogwipo,South Korea,Slovenia,Paraguay,1,3,4,2,Away Win,Paraguay,No,No,0,0,No,1–3
M-2002-40,2002,2000s,2002-06-12,20:30,Group Stage,Group Stage,Group B,Daejeon World Cup Stadium,Daejeon,South Korea,South Africa,Spain,2,3,5,1,Away Win,Spain,No,No,0,0,Yes,2–3
M-2002-41,2002,2000s,2002-06-13,15:30,Group Stage,Group Stage,Group C,Suwon World Cup Stadium,Suwon,South Korea,Costa Rica,Brazil,2,5,7,3,Away Win,Brazil,No,No,0,0,Yes,2–5
M-2002-42,2002,2000s,2002-06-13,15:30,Group Stage,Group Stage,Group C,Seoul World Cup Stadium,Seoul,South Korea,Turkey,China,3,0,3,3,Home Win,Turkey,No,No,0,0,No,3–0
M-2002-43,2002,2000s,2002-06-13,20:30,Group Stage,Group Stage,Group G,International Stadium Yokohama,Yokohama,Japan,Ecuador,Croatia,1,0,1,1,Home Win,Ecuador,No,No,0,0,No,1–0
M-2002-44,2002,2000s,2002-06-13,20:30,Group Stage,Group Stage,Group G,Ōita Stadium,Ōita,Japan,Mexico,Italy,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2002-45,2002,2000s,2002-06-14,15:30,Group Stage,Group Stage,Group H,Shizuoka Stadium ECOPA,Shizuoka,Japan,Belgium,Russia,3,2,5,1,Home Win,Belgium,No,No,0,0,Yes,3–2
M-2002-46,2002,2000s,2002-06-14,15:30,Group Stage,Group Stage,Group H,Nagai Stadium,Osaka,Japan,Tunisia,Japan,0,2,2,2,Away Win,Japan,No,No,0,0,No,0–2
